DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-29T00:00:00Z,SSS048,S29,3.5,17.377,8.752,97.819,8.752
2022-07-29T00:15:00Z,SSS048,S29,3.5,17.301,8.784,98.052,8.784
2022-07-29T00:30:00Z,SSS048,S29,3.5,17.225,8.787,97.953,8.787
2022-07-29T00:45:00Z,SSS048,S29,3.5,17.115,8.81,97.998,8.81
2022-07-29T01:00:00Z,SSS048,S29,3.5,17.038,8.824,97.993,8.824
2022-07-29T01:15:00Z,SSS048,S29,3.5,16.962,8.842,98.019,8.842
2022-07-29T01:30:00Z,SSS048,S29,3.5,16.86,8.868,98.085,8.868
2022-07-29T01:45:00Z,SSS048,S29,3.49,16.792,8.873,98.009,8.873
2022-07-29T02:00:00Z,SSS048,S29,3.49,16.69,8.902,98.093,8.902
2022-07-29T02:15:00Z,SSS048,S29,3.49,16.665,8.903,98.105,8.903
2022-07-29T02:30:00Z,SSS048,S29,3.49,16.605,8.922,98.154,8.922
2022-07-29T02:45:00Z,SSS048,S29,3.49,16.529,8.941,98.209,8.941
2022-07-29T03:00:00Z,SSS048,S29,3.49,16.461,8.949,98.125,8.949
2022-07-29T03:15:00Z,SSS048,S29,3.49,16.418,8.96,98.171,8.96
2022-07-29T03:30:00Z,SSS048,S29,3.49,16.359,8.967,98.117,8.967
2022-07-29T03:45:00Z,SSS048,S29,3.49,16.29,8.991,98.224,8.991
2022-07-29T04:00:00Z,SSS048,S29,3.49,16.239,8.999,98.196,8.999
2022-07-29T04:15:00Z,SSS048,S29,3.49,16.171,9.007,98.11,9.007
2022-07-29T04:30:00Z,SSS048,S29,3.49,16.111,9.016,98.101,9.016
2022-07-29T04:45:00Z,SSS048,S29,3.49,16.052,9.049,98.314,9.049
2022-07-29T05:00:00Z,SSS048,S29,3.49,15.992,9.077,98.452,9.077
2022-07-29T05:15:00Z,SSS048,S29,3.49,15.941,9.105,98.665,9.105
2022-07-29T05:30:00Z,SSS048,S29,3.49,15.855,9.159,99.094,9.159
2022-07-29T05:45:00Z,SSS048,S29,3.49,15.83,9.192,99.358,9.192
2022-07-29T06:00:00Z,SSS048,S29,3.49,15.813,9.237,99.757,9.237
2022-07-29T06:15:00Z,SSS048,S29,3.48,15.821,9.293,100.421,9.293
2022-07-29T06:30:00Z,SSS048,S29,3.49,15.83,9.309,100.62,9.309
2022-07-29T06:45:00Z,SSS048,S29,3.48,15.872,9.324,100.86,9.324
2022-07-29T07:00:00Z,SSS048,S29,3.48,15.915,9.359,101.312,9.359
2022-07-29T07:15:00Z,SSS048,S29,3.48,15.966,9.387,101.75,9.387
2022-07-29T07:30:00Z,SSS048,S29,3.48,16.077,9.388,101.996,9.388
2022-07-29T07:45:00Z,SSS048,S29,3.48,16.18,9.401,102.352,9.401
2022-07-29T08:00:00Z,SSS048,S29,3.48,16.316,9.403,102.689,9.403
2022-07-29T08:15:00Z,SSS048,S29,3.48,16.469,9.406,103.073,9.406
2022-07-29T08:30:00Z,SSS048,S29,3.48,16.656,9.399,103.419,9.399
2022-07-29T08:45:00Z,SSS048,S29,3.48,16.869,9.371,103.601,9.371
2022-07-29T09:00:00Z,SSS048,S29,3.48,17.098,9.357,103.954,9.357
2022-07-29T09:15:00Z,SSS048,S29,3.48,17.352,9.316,104.076,9.316
2022-07-29T09:30:00Z,SSS048,S29,3.48,17.605,9.294,104.383,9.294
2022-07-29T09:45:00Z,SSS048,S29,3.48,17.901,9.25,104.542,9.25
2022-07-29T10:00:00Z,SSS048,S29,3.48,18.179,9.234,104.977,9.234
2022-07-29T10:15:00Z,SSS048,S29,3.48,18.491,9.193,105.206,9.193
2022-07-29T10:30:00Z,SSS048,S29,3.47,18.743,9.166,105.509,9.166
2022-07-29T10:45:00Z,SSS048,S29,3.48,19.054,9.098,105.372,9.098
2022-07-29T11:00:00Z,SSS048,S29,3.48,19.364,9.056,105.574,9.056
2022-07-29T11:15:00Z,SSS048,S29,3.48,19.708,9.022,105.94,9.022
2022-07-29T11:30:00Z,SSS048,S29,3.48,20.051,8.972,106.08,8.972
2022-07-29T11:45:00Z,SSS048,S29,3.48,20.37,8.928,106.259,8.928
2022-07-29T12:00:00Z,SSS048,S29,3.48,20.637,8.9,106.577,8.9
2022-07-29T12:15:00Z,SSS048,S29,3.48,20.938,8.822,106.228,8.822
2022-07-29T12:30:00Z,SSS048,S29,3.48,21.231,8.782,106.437,8.782
2022-07-29T12:45:00Z,SSS048,S29,3.48,21.499,8.742,106.457,8.742
2022-07-29T13:00:00Z,SSS048,S29,3.48,21.775,8.691,106.407,8.691
2022-07-29T13:15:00Z,SSS048,S29,3.48,22.042,8.651,106.561,8.651
2022-07-29T13:30:00Z,SSS048,S29,3.48,22.285,8.6,106.464,8.6
2022-07-29T13:45:00Z,SSS048,S29,3.49,22.485,8.562,106.4,8.562
2022-07-29T14:00:00Z,SSS048,S29,3.48,22.686,8.517,106.291,8.517
2022-07-29T14:15:00Z,SSS048,S29,3.48,22.82,8.495,106.304,8.495
2022-07-29T14:30:00Z,SSS048,S29,3.48,22.954,8.456,106.139,8.456
2022-07-29T14:45:00Z,SSS048,S29,3.48,23.046,8.436,106.094,8.436
2022-07-29T15:00:00Z,SSS048,S29,3.48,23.096,8.398,105.692,8.398
2022-07-29T15:15:00Z,SSS048,S29,3.48,23.146,8.376,105.515,8.376
2022-07-29T15:30:00Z,SSS048,S29,3.49,23.163,8.355,105.281,8.355
2022-07-29T15:45:00Z,SSS048,S29,3.49,23.088,8.326,104.8,8.326
2022-07-29T16:00:00Z,SSS048,S29,3.49,22.971,8.317,104.466,8.317
2022-07-29T16:15:00Z,SSS048,S29,3.49,22.837,8.305,104.064,8.305
2022-07-29T16:30:00Z,SSS048,S29,3.49,22.686,8.284,103.478,8.284
2022-07-29T16:45:00Z,SSS048,S29,3.49,22.502,8.268,102.878,8.268
2022-07-29T17:00:00Z,SSS048,S29,3.5,22.301,8.268,102.518,8.268
2022-07-29T17:15:00Z,SSS048,S29,3.49,22.151,8.233,101.79,8.233
2022-07-29T17:30:00Z,SSS048,S29,3.49,21.942,8.223,101.292,8.223
2022-07-29T17:45:00Z,SSS048,S29,3.49,21.758,8.218,100.798,8.218
2022-07-29T18:00:00Z,SSS048,S29,3.5,21.557,8.187,100.046,8.187
2022-07-29T18:15:00Z,SSS048,S29,3.5,21.348,8.182,99.549,8.182
2022-07-29T18:30:00Z,SSS048,S29,3.5,21.164,8.165,99.005,8.165
2022-07-29T18:45:00Z,SSS048,S29,3.49,20.964,8.183,98.784,8.183
2022-07-29T19:00:00Z,SSS048,S29,3.49,20.796,8.183,98.424,8.183
2022-07-29T19:15:00Z,SSS048,S29,3.5,20.587,8.183,98.014,8.183
2022-07-29T19:30:00Z,SSS048,S29,3.5,20.37,8.201,97.81,8.201
2022-07-29T19:45:00Z,SSS048,S29,3.5,20.194,8.203,97.449,8.203
2022-07-29T20:00:00Z,SSS048,S29,3.5,20.01,8.23,97.386,8.23
2022-07-29T20:15:00Z,SSS048,S29,3.49,19.825,8.24,97.13,8.24
2022-07-29T20:30:00Z,SSS048,S29,3.49,19.683,8.263,97.095,8.263
2022-07-29T20:45:00Z,SSS048,S29,3.49,19.574,8.286,97.148,8.286
2022-07-29T21:00:00Z,SSS048,S29,3.5,19.465,8.304,97.096,8.304
2022-07-29T21:15:00Z,SSS048,S29,3.5,19.364,8.333,97.232,8.333
2022-07-29T21:30:00Z,SSS048,S29,3.5,19.255,8.34,97.139,8.34
2022-07-29T21:45:00Z,SSS048,S29,3.5,19.146,8.366,97.215,8.366
2022-07-29T22:00:00Z,SSS048,S29,3.5,19.07,8.379,97.159,8.379
2022-07-29T22:15:00Z,SSS048,S29,3.49,18.978,8.383,97.074,8.383
2022-07-29T22:30:00Z,SSS048,S29,3.49,18.835,8.43,97.253,8.43
2022-07-29T22:45:00Z,SSS048,S29,3.49,18.768,8.431,97.177,8.431
2022-07-29T23:00:00Z,SSS048,S29,3.49,18.676,8.449,97.148,8.449
2022-07-29T23:15:00Z,SSS048,S29,3.49,18.6,8.469,97.237,8.469
2022-07-29T23:30:00Z,SSS048,S29,3.49,18.474,8.489,97.228,8.489
