DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-26T18:00:00Z,SSS039,S37,3.37,19.783,8.38,99.228,8.38
2022-07-26T18:15:00Z,SSS039,S37,3.38,19.649,8.388,99.066,8.388
2022-07-26T18:30:00Z,SSS039,S37,3.38,19.523,8.391,98.877,8.391
2022-07-26T18:45:00Z,SSS039,S37,3.38,19.381,8.414,98.833,8.414
2022-07-26T19:00:00Z,SSS039,S37,3.38,19.264,8.42,98.651,8.42
2022-07-26T19:15:00Z,SSS039,S37,3.38,19.104,8.441,98.537,8.441
2022-07-26T19:30:00Z,SSS039,S37,3.38,18.995,8.432,98.234,8.432
2022-07-26T19:45:00Z,SSS039,S37,3.37,18.861,8.446,98.096,8.446
2022-07-26T20:00:00Z,SSS039,S37,3.38,18.726,8.456,97.911,8.456
2022-07-26T20:15:00Z,SSS039,S37,3.38,18.6,8.475,97.881,8.475
2022-07-26T20:30:00Z,SSS039,S37,3.38,18.482,8.503,97.954,8.503
2022-07-26T20:45:00Z,SSS039,S37,3.38,18.39,8.511,97.825,8.511
2022-07-26T21:00:00Z,SSS039,S37,3.38,18.281,8.528,97.839,8.528
2022-07-26T21:15:00Z,SSS039,S37,3.38,18.179,8.551,97.877,8.551
2022-07-26T21:30:00Z,SSS039,S37,3.38,18.045,8.582,97.93,8.582
2022-07-26T21:45:00Z,SSS039,S37,3.38,17.935,8.593,97.845,8.593
2022-07-26T22:00:00Z,SSS039,S37,3.38,17.817,8.625,97.945,8.625
2022-07-26T22:15:00Z,SSS039,S37,3.38,17.707,8.637,97.836,8.637
2022-07-26T22:30:00Z,SSS039,S37,3.38,17.606,8.66,97.895,8.66
2022-07-26T22:45:00Z,SSS039,S37,3.38,17.488,8.677,97.849,8.677
2022-07-26T23:00:00Z,SSS039,S37,3.38,17.395,8.706,97.951,8.706
2022-07-26T23:15:00Z,SSS039,S37,3.38,17.293,8.718,97.856,8.718
2022-07-26T23:30:00Z,SSS039,S37,3.38,17.175,8.75,97.969,8.75
2022-07-26T23:45:00Z,SSS039,S37,3.38,17.082,8.759,97.892,8.759
2022-07-27T00:00:00Z,SSS039,S37,3.38,16.988,8.783,97.957,8.783
2022-07-27T00:15:00Z,SSS039,S37,3.38,16.887,8.807,98.011,8.807
2022-07-27T00:30:00Z,SSS039,S37,3.38,16.785,8.829,98.054,8.829
2022-07-27T00:45:00Z,SSS039,S37,3.38,16.7,8.842,98.019,8.842
2022-07-27T01:00:00Z,SSS039,S37,3.38,16.615,8.847,97.896,8.847
2022-07-27T01:15:00Z,SSS039,S37,3.38,16.522,8.878,98.058,8.878
2022-07-27T01:30:00Z,SSS039,S37,3.38,16.419,8.907,98.153,8.907
2022-07-27T01:45:00Z,SSS039,S37,3.38,16.343,8.909,98.003,8.909
2022-07-27T02:00:00Z,SSS039,S37,3.38,16.241,8.94,98.146,8.94
2022-07-27T02:15:00Z,SSS039,S37,3.38,16.156,8.945,97.998,8.945
2022-07-27T02:30:00Z,SSS039,S37,3.38,16.045,8.982,98.189,8.982
2022-07-27T02:45:00Z,SSS039,S37,3.38,15.985,8.993,98.17,8.993
