DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-29T00:00:00Z,SSS010,S10,3.46,15.423,9.063,99.825,9.063
2022-07-29T00:15:00Z,SSS010,S10,3.46,15.312,9.095,99.928,9.095
2022-07-29T00:30:00Z,SSS010,S10,3.46,15.235,9.114,100.001,9.114
2022-07-29T00:45:00Z,SSS010,S10,3.46,15.123,9.127,99.893,9.127
2022-07-29T01:00:00Z,SSS010,S10,3.46,15.02,9.146,99.903,9.146
2022-07-29T01:15:00Z,SSS010,S10,3.47,14.925,9.168,99.913,9.168
2022-07-29T01:30:00Z,SSS010,S10,3.47,14.839,9.185,99.922,9.185
2022-07-29T01:45:00Z,SSS010,S10,3.47,14.71,9.202,99.801,9.202
2022-07-29T02:00:00Z,SSS010,S10,3.46,14.641,9.224,99.894,9.224
2022-07-29T02:15:00Z,SSS010,S10,3.46,14.52,9.254,99.958,9.254
2022-07-29T02:30:00Z,SSS010,S10,3.46,14.433,9.272,99.954,9.272
2022-07-29T02:45:00Z,SSS010,S10,3.46,14.347,9.284,99.895,9.284
2022-07-29T03:00:00Z,SSS010,S10,3.46,14.277,9.307,99.976,9.307
2022-07-29T03:15:00Z,SSS010,S10,3.46,14.147,9.34,100.048,9.34
2022-07-29T03:30:00Z,SSS010,S10,3.46,14.069,9.343,99.892,9.343
2022-07-29T03:45:00Z,SSS010,S10,3.46,13.982,9.372,100.006,9.372
2022-07-29T04:00:00Z,SSS010,S10,3.46,13.896,9.392,100.036,9.392
2022-07-29T04:15:00Z,SSS010,S10,3.46,13.809,9.404,99.97,9.404
2022-07-29T04:30:00Z,SSS010,S10,3.46,13.739,9.418,99.953,9.418
2022-07-29T04:45:00Z,SSS010,S10,3.46,13.652,9.455,100.146,9.455
2022-07-29T05:00:00Z,SSS010,S10,3.46,13.556,9.488,100.29,9.488
2022-07-29T05:15:00Z,SSS010,S10,3.46,13.486,9.508,100.329,9.508
2022-07-29T05:30:00Z,SSS010,S10,3.46,13.434,9.536,100.537,9.536
2022-07-29T05:45:00Z,SSS010,S10,3.45,13.346,9.574,100.722,9.574
2022-07-29T06:00:00Z,SSS010,S10,3.46,13.276,9.602,100.846,9.602
2022-07-29T06:15:00Z,SSS010,S10,3.45,13.276,9.655,101.4,9.655
2022-07-29T06:30:00Z,SSS010,S10,3.45,13.25,9.685,101.667,9.685
2022-07-29T06:45:00Z,SSS010,S10,3.45,13.232,9.705,101.829,9.705
2022-07-29T07:00:00Z,SSS010,S10,3.45,13.232,9.735,102.167,9.735
2022-07-29T07:15:00Z,SSS010,S10,3.45,13.259,9.742,102.298,9.742
2022-07-29T07:30:00Z,SSS010,S10,3.45,13.302,9.763,102.619,9.763
2022-07-29T07:45:00Z,SSS010,S10,3.45,13.346,9.753,102.639,9.753
2022-07-29T08:00:00Z,SSS010,S10,3.45,13.407,9.759,102.814,9.759
2022-07-29T08:15:00Z,SSS010,S10,3.45,13.495,9.753,103.021,9.753
2022-07-29T08:30:00Z,SSS010,S10,3.46,13.599,9.722,102.905,9.722
2022-07-29T08:45:00Z,SSS010,S10,3.46,13.704,9.72,103.141,9.72
2022-07-29T09:00:00Z,SSS010,S10,3.45,13.843,9.689,103.16,9.689
2022-07-29T09:15:00Z,SSS010,S10,3.45,14.043,9.651,103.203,9.651
