DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-28T00:00:00Z,SSS044,S02,3.47,14.712,9.181,99.713,9.181
2022-07-28T00:15:00Z,SSS044,S02,3.47,14.643,9.2,99.769,9.2
2022-07-28T00:30:00Z,SSS044,S02,3.46,14.557,9.218,99.763,9.218
2022-07-28T00:45:00Z,SSS044,S02,3.46,14.497,9.221,99.666,9.221
2022-07-28T01:00:00Z,SSS044,S02,3.46,14.41,9.238,99.666,9.238
2022-07-28T01:15:00Z,SSS044,S02,3.46,14.341,9.265,99.807,9.265
2022-07-28T01:30:00Z,SSS044,S02,3.46,14.28,9.269,99.7,9.269
2022-07-28T01:45:00Z,SSS044,S02,3.46,14.211,9.279,99.678,9.279
2022-07-28T02:00:00Z,SSS044,S02,3.46,14.159,9.292,99.727,9.292
2022-07-28T02:15:00Z,SSS044,S02,3.46,14.081,9.307,99.683,9.307
2022-07-28T02:30:00Z,SSS044,S02,3.46,14.029,9.32,99.729,9.32
2022-07-28T02:45:00Z,SSS044,S02,3.46,13.985,9.328,99.706,9.328
2022-07-28T03:00:00Z,SSS044,S02,3.46,13.942,9.347,99.793,9.347
2022-07-28T03:15:00Z,SSS044,S02,3.46,13.907,9.35,99.748,9.35
2022-07-28T03:30:00Z,SSS044,S02,3.46,13.881,9.352,99.743,9.352
2022-07-28T03:45:00Z,SSS044,S02,3.46,13.864,9.346,99.634,9.346
2022-07-28T04:00:00Z,SSS044,S02,3.46,13.838,9.354,99.667,9.354
2022-07-28T04:15:00Z,SSS044,S02,3.46,13.794,9.364,99.66,9.364
2022-07-28T04:30:00Z,SSS044,S02,3.46,13.759,9.382,99.763,9.382
2022-07-28T04:45:00Z,SSS044,S02,3.46,13.733,9.392,99.784,9.392
2022-07-28T05:00:00Z,SSS044,S02,3.46,13.716,9.403,99.876,9.403
2022-07-28T05:15:00Z,SSS044,S02,3.46,13.672,9.437,100.14,9.437
2022-07-28T05:30:00Z,SSS044,S02,3.46,13.655,9.463,100.35,9.463
2022-07-28T05:45:00Z,SSS044,S02,3.46,13.646,9.511,100.862,9.511
2022-07-28T06:00:00Z,SSS044,S02,3.46,13.672,9.529,101.135,9.529
