DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-27T00:00:00Z,SSS016,T42,3.5,18.642,8.821,99.67,8.821
2022-07-27T00:15:00Z,SSS016,T42,3.5,18.474,8.854,99.692,8.854
2022-07-27T00:30:00Z,SSS016,T42,3.5,18.314,8.876,99.637,8.876
2022-07-27T00:45:00Z,SSS016,T42,3.5,18.153,8.915,99.736,8.915
2022-07-27T01:00:00Z,SSS016,T42,3.5,18.002,8.949,99.792,8.949
2022-07-27T01:15:00Z,SSS016,T42,3.5,17.841,8.974,99.747,8.974
2022-07-27T01:30:00Z,SSS016,T42,3.49,17.681,9.014,99.846,9.014
2022-07-27T01:45:00Z,SSS016,T42,3.49,17.529,9.051,99.946,9.051
2022-07-27T02:00:00Z,SSS016,T42,3.49,17.402,9.065,99.836,9.065
2022-07-27T02:15:00Z,SSS016,T42,3.49,17.258,9.106,99.96,9.106
2022-07-27T02:30:00Z,SSS016,T42,3.49,17.114,9.124,99.872,9.124
2022-07-27T02:45:00Z,SSS016,T42,3.5,16.986,9.156,99.949,9.156
2022-07-27T03:00:00Z,SSS016,T42,3.5,16.876,9.178,99.951,9.178
2022-07-27T03:15:00Z,SSS016,T42,3.49,16.732,9.209,99.98,9.209
2022-07-27T03:30:00Z,SSS016,T42,3.49,16.63,9.234,100.018,9.234
2022-07-27T03:45:00Z,SSS016,T42,3.49,16.502,9.259,100.021,9.259
2022-07-27T04:00:00Z,SSS016,T42,3.49,16.391,9.285,100.051,9.285
2022-07-27T04:15:00Z,SSS016,T42,3.49,16.289,9.303,100.042,9.303
2022-07-27T04:30:00Z,SSS016,T42,3.49,16.213,9.328,100.146,9.328
2022-07-27T04:45:00Z,SSS016,T42,3.49,16.11,9.352,100.157,9.352
2022-07-27T05:00:00Z,SSS016,T42,3.49,16.025,9.393,100.422,9.393
2022-07-27T05:15:00Z,SSS016,T42,3.49,15.931,9.444,100.727,9.444
2022-07-27T05:30:00Z,SSS016,T42,3.49,15.862,9.5,101.164,9.5
2022-07-27T05:45:00Z,SSS016,T42,3.49,15.82,9.553,101.623,9.553
2022-07-27T06:00:00Z,SSS016,T42,3.49,15.768,9.599,102,9.599
2022-07-27T06:15:00Z,SSS016,T42,3.49,15.751,9.663,102.618,9.663
2022-07-27T06:30:00Z,SSS016,T42,3.49,15.751,9.728,103.305,9.728
2022-07-27T06:45:00Z,SSS016,T42,3.49,15.768,9.78,103.904,9.78
2022-07-27T07:00:00Z,SSS016,T42,3.49,15.794,9.843,104.638,9.843
2022-07-27T07:15:00Z,SSS016,T42,3.48,15.845,9.887,105.23,9.887
2022-07-27T07:30:00Z,SSS016,T42,3.48,15.905,9.92,105.689,9.92
2022-07-27T07:45:00Z,SSS016,T42,3.48,16.008,9.943,106.181,9.943
2022-07-27T08:00:00Z,SSS016,T42,3.48,16.085,9.974,106.67,9.974
2022-07-27T08:15:00Z,SSS016,T42,3.48,16.195,9.984,107.041,9.984
