"Parent_ID","Site_ID","daysofdata","ERdailymeanmean_gO2/m2day","GPPdailymeanmean_gO2/m2day","K600dailymeanmean_m/day","mean_depth_m","ERdailymeanmean_gO2/m3day","GPPdailymeanmean_gO2/m3day","K600vsERrsq","K600vsERp"
"SSS001","S63","32","0.213927425006802","0.217966094035816","8.53673368458298","0.244351739945822","0.875489673428288","0.892017769483219","0.214994647929929","0.0075199566860353"
"SSS002","S30R","32","-4.02724957031058","5.19871877888732","21.2091026982812","0.26101522314084","-15.4291750567266","19.9173010536714","0.280985173917429","0.00180577332453925"
"SSS003","S31","32","-0.953879310692879","1.33137460213267","26.3708830273309","0.294346921364213","-3.24066345342402","4.52314770598631","0.129971097459864","0.0426644690815122"
"SSS004","S55N","20","-0.433033242926484","1.50186779052768","28.0217282832636","0.132131123709842","-3.27729932788145","11.3664952538038","0.0954631133675607","0.18500572416917"
"SSS005","S57","20","-4.66665208261855","9.33191728205819","8.1586759113856","1.68447378269367","-2.77039163836438","5.53995994353524","0.423880868707279","0.00187633594555437"
"SSS006","S56N","32","-3.30045544532651","4.21775668556342","22.8619735505075","0.258556910569106","-12.764909040961","16.3126820949391","0.430090190047889","4.60859793308128e-05"
"SSS007","S53","32","1.99576774253703","1.9835737254235","79.2720725937672","0.217251750875438","9.18642880664891","9.13030029645555","0.0507349976480751","0.215166696813051"
"SSS008","S52","32","-1.71350133207163","0.620816813179316","22.1830263694668","0.231313682450089","-7.40769553241344","2.6838741513411","0.00239711197031692","0.790160911118084"
"SSS009","S45","32","-0.559905850986324","1.07462088482117","74.813082462958","0.360192829983704","-1.55446140061049","2.98345995635111","0.693263573826026","3.42743704339584e-09"
"SSS010","S10","32","-9999","-9999","-9999","0.281452014956377","-9999","-9999","-9999","-9999"
"SSS011","S04","32","1.41910191848706","6.1709337267389","307.066221680916","0.204403597316551","6.94264649505827","30.1899467903308","0.789030033360394","1.17750555409172e-11"
"SSS012","S50P","32","-1.22652658946215","4.55020453701907","30.6258101986941","0.51800336896394","-2.36779654911382","8.78412151280011","0.0685145649148699","0.147852830803963"
"SSS013","T07","32","-5.4789826468695","8.13173415951981","4.29952841456163","0.493600788054749","-11.1000281593185","16.47431356738","0.00513138495188199","0.696832066408917"
"SSS014","T02","32","-19.6116419112466","22.7570782104331","2.9511585328904","2.11843482417491","-9.25760929127711","10.7424018670466","0.182486413334038","0.0147471100156529"
"SSS015","T03","32","-10.2690078290419","12.458756495685","8.09941540557343","1.70968146214099","-6.00638660267289","7.28717996397014","0.461546353174794","1.90638721862343e-05"
"SSS016","T42","29","0.333858004965287","5.56669449429108","24.5492348090049","0.593743680432747","0.562293151014182","9.37558525293914","0.0345615391157265","0.334266088909731"
"SSS017","S58","32","-3.59702567691048","13.2927306231667","27.2555184866593","0.717314025531207","-5.01457597214372","18.5312570924885","0.406408805712141","8.70043697754961e-05"
"SSS018","S08","32","-9.02209306383519","1.39687726421697","20.8855284297781","0.321029917648285","-28.1035896278042","4.35123702628664","0.167396461924951","0.020061848605288"
"SSS019","S03","32","-0.47557410996802","0.320849834466381","32.0288145336332","0.159445104290388","-2.98268242279729","2.01229028570257","0.194620607128854","0.0114900912642571"
"SSS020","T05P","32","-3.44821982542757","3.55682415176332","31.5557598801058","0.427248889167032","-8.07075199692209","8.32494651700027","0.801160673971263","4.80978663816277e-12"
"SSS021","S24","32","-1.43395044742335","2.45024591090864","26.8646378646305","0.430050343249428","-3.33437810231362","5.69757924710574","0.476860430361998","1.218930640374e-05"
"SSS022","S15","30","0.167369726623659","0.0489646345004855","19.3707244048682","0.100979935059529","1.65745528084359","0.484894691916966","0.0182399879043924","0.476732608406795"
"SSS023","U20","22","-9999","-9999","-9999","0.144975617888551","-9999","-9999","-9999","-9999"
"SSS024","W20","32","-3.9099899640517","4.15980438330396","24.7671522924525","0.148644219930698","-26.3043525397399","27.984972340286","0.604119371116579","1.67555798171085e-07"
