Site_ID,ClusterNum
S63,5
S30R,4
S31,6
S55N,6
S57,6
S56N,5
S53,1
S52,1
S45,1
S10,5
S04,5
S50P,4
T07,6
T02,5
T03,4
T41,5
S58,6
S08,3
S03,1
T05P,1
S24,1
S15,5
U20,4
W20,6
S34R,6
S36,6
S32,4
S42,5
S41R,6
S43,6
S47R,1
C21,5
S48R,3
S18R,1
S17R,1
W10,5
S39,6
S38,6
S37,5
S54,5
S49R,6
S51,6
S11,5
S02,1
S01,1
S22RR,1
S23,5
S29,5
