"SiteID","daysofdata","ERdailymeanmean_gO2/m2day","GPPdailymeanmean_gO2/m2day","K600dailymeanmean_m/day","mean_depth_m","ERdailymeanmean_gO2/m3day","GPPdailymeanmean_gO2/m3day","K600vsERrsq","K600vsERp"
"C21","31","-2.59119838845698","0.254330864889063","18.7399230084332","0.284035608777398","-9.12279414405299","0.895418944067624","0.0330260457292051","0.327860465771055"
"S01","31","-3.5146596943214","1.53781331548998","35.7513213267528","0.33552291262013","-10.4751704343381","4.58333323194249","0.183792567057215","0.0161122838675784"
"S02","31","-3.9413024875879","1.64098067875086","18.9482506318179","0.564645019630761","-6.98014212569385","2.9062165107273","0.0416797969149743","0.270620012592656"
"S03","31","-1.99071458440738","0.265329730271562","29.7960297399738","0.159675544933723","-12.4672477882175","1.6616804431868","0.00349162584222633","0.75218836856826"
"S04","31","-5.37734209509521","1.36605149392876","74.0407111560209","0.204460802231621","-26.3001124734097","6.68123903955561","0.980467184648319","2.43833245268883e-26"
"S08","31","-10.3348543463193","1.17849206715951","19.047863428971","0.321020753420881","-32.1937265307255","3.67107750698728","0.159102500776023","0.0262322283402422"
"S10","31","-0.885661275679358","-0.0975681085093212","12.9642141079305","0.281714540984823","-3.1438252089624","-0.346336785343918","0.118436421245059","0.0579929940421734"
"S11","31","-7.91542274941324","2.00269369679283","27.2899967173072","0.506344158463521","-15.6324954422941","3.95520253036969","0.909014410200989","1.2343079315106e-16"
"S15","30","-1.21445904938009","0.0979262086169041","32.6950869134049","0.101302843371785","-11.9884004136289","0.966667917281568","0.44085235594388","6.32236624260391e-05"
"S17R","31","-6.60711059617885","1.3287305778383","29.4175763624805","0.426862994678606","-15.4782932194754","3.11277996547517","0.000621282420720113","0.894116726470089"
"S18R","31","-6.79230614330985","2.65059878193899","81.9310630691581","0.54002097346733","-12.5778561889889","4.90832562468862","0.477234102891052","1.69370908598101e-05"
"S22RR","31","-6.88090300149334","3.50553007304629","28.2811234078322","0.271613685956006","-25.3334178551218","12.9063086814193","0.601300110096159","3.00576160075714e-07"
"S23","31","-5.69202572539253","1.29018403790902","7.51655668849873","1.09955122931885","-5.17668078905119","1.17337328494304","0.525612921236631","3.96925185175762e-06"
"S24","31","-5.73519399838043","2.29526209293343","26.6006469891475","0.431443219405679","-13.2930446937624","5.31996329921511","0.393485574306592","0.000158930799320335"
"S29","31","-1.65372491612009","0.737175386617259","20.1056763209945","0.22220109273134","-7.44246977272781","3.31760468661856","0.122137000331223","0.0539636828783097"
"S30R","31","-5.64834309923696","5.1059843124545","21.4117394403149","0.260948703909438","-21.6454154192588","19.567003920535","0.502368459570992","8.10367591592763e-06"
"S31","31","-3.40435362904536","1.30129454837084","27.1566784237815","0.294187181988399","-11.5720664851387","4.42335570018871","0.0458099554745775","0.24761128014189"
"S32","31","-6.48049368071164","4.2347187058318","20.4289820126153","0.298960918931113","-21.676725184956","14.164790237374","0.691231429009331","6.93114567074475e-09"
"S34R","31","-18.491886704015","17.2960675722056","4.09217216422303","0.759820638477305","-24.3371734954095","22.7633558452258","0.0189392533831333","0.460349555317704"
"S36","31","-15.3971078612162","16.1360196183927","4.24047548978797","0.56230272133827","-27.382239631655","28.6963214049353","0.275574112350272","0.00242883322386417"
"S37","31","-2.50310873732423","0.632964023046772","30.8491714461441","0.141276055968459","-17.7178554438346","4.48033475105001","0.894188424057359","1.11012317153783e-15"
"S38","31","-1.77793622455848","-0.137464948309434","3.89178009996052","0.10380647249213","-17.1274120184873","-1.32424255452718","0.14289998359648","0.0360152079234142"
"S39","31","-1.66940302469395","0.308274839029125","21.1512752371445","0.162858804900863","-10.2506157140854","1.89289636023537","4.6599693093791e-05","0.970926564952064"
"S41R","31","-6.13199561735792","1.65005671369908","22.0620973266962","0.37143041264142","-16.509137132176","4.44243836137363","0.0653604386337778","0.165095300309597"
"S42","31","0.243900474652721","-0.292744588154941","0.22251908673884","0.141503495942591","1.72363568142284","-2.06881523459823","0.108527584133366","0.0703362710936221"
"S43","31","-5.70439009546769","5.65242559384969","10.1343743973007","0.321423728174975","-17.7472588220443","17.5855890476531","0.309635391329553","0.00115087683071251"
"S45","31","-9.8917663791206","0.79140874236204","70.1301001682396","0.360724026877557","-27.4219781386456","2.19394518633125","0.764584085968407","1.29624286681272e-10"
"S47R","31","-7.17160166590522","2.36841383410216","30.8782208332133","0.479044213034055","-14.9706466976888","4.94404017345637","0.726535667748082","1.16492368895371e-09"
"S48R","31","-4.20893094282072","9.16963813905071","584.236676069457","0.278027745777213","-15.1385284625276","32.9810181836976","0.217038736627866","0.00825769780042529"
"S49R","31","-6.09061247682457","2.30308819150215","35.252690755985","0.46428856803662","-13.1181616264654","4.96046715352359","0.685070638499106","9.26806495683413e-09"
"S50P","31","-2.1616151902635","4.44897900419116","30.2880673382603","0.517916561592091","-4.17367458499228","8.59014623999445","0.170899054715593","0.0207989081148653"
"S51","31","0.389332581700665","1.41198860790478","19.0610783484913","0.453445037233349","0.858610304958104","3.11391346682255","0.00640816701236016","0.668594701987578"
"S52","31","-3.76196012712238","0.568688884396929","21.6549621971558","0.231371224604696","-16.2594122650723","2.45790670541918","0.00487921568218788","0.708857859852587"
"S53","31","-6.12687034710588","1.464996328632","100.895074960614","0.217388405729547","-28.1839793918372","6.73907296810763","0.992831220995338","1.18144731787306e-32"
"S54","31","0.965524785097993","3.08400388639325","49.1924003332697","0.484216506123284","1.99399395288719","6.36905980567306","0.155820952452256","0.0279755974629253"
"S55","31","-5.7468121279702","4.32389597320177","73.8117226948602","0.132308556215313","-43.4349243341306","32.6803957120146","0.94366019120652","1.16300130637047e-19"
"S56","32","-3.70616287986843","4.24313605978439","23.2671181464274","0.236025901126365","-15.7023566573916","17.9774170526847","0.448949053052149","2.73000207047126e-05"
"S57","31","-5.74553859571544","13.0183548102279","9.41755738849485","1.68400193276583","-3.41183610536532","7.7306056227895","0.472456315717527","1.94115032186238e-05"
"S58","31","-9.39870127554389","12.6210155143445","27.2264008170986","0.716788015553328","-13.1122466776855","17.6077379092362","0.697604087767998","5.1010224165356e-09"
"S63P","31","-1.59466035191403","0.805573083616082","15.774136639785","0.244475185726944","-6.52279022581506","3.29511185857461","0.0435804393805815","0.259729571719179"
"T02","31","-20.8288930694614","21.9208052914585","2.86393321092426","2.11790212897632","-9.83468158631529","10.350244702787","0.0504276055139843","0.224554027184465"
"T03","31","-15.3140944184235","11.7793276909946","8.06417370388396","1.70951251884373","-8.95816453498774","6.89046003533323","0.614989550103977","1.79276574110854e-07"
"T05P","31","-8.79484392197413","3.18685101539016","30.2665586031532","0.436369727898669","-20.1545693014168","7.30309829404616","0.887831298715375","2.59548582131573e-15"
"T07","32","-6.18167560992049","7.7897875419504","4.29960626602651","0.519607399561037","-11.8968198203928","14.9916793881904","0.00307968204364745","0.762904306892607"
"T41","31","-3.98854077180104","5.1358072664591","24.4074838718816","0.593424210053753","-6.72123028388032","8.65452938968212","0.0132577461907897","0.537368527651076"
"U20","31","-5.03908964625555","0.313233344891902","10.5295065411649","0.144985239739274","-34.7558803593891","2.16044988755537","0.169520206687847","0.0213723324255292"
"W10","31","-1.89055656862134","0.459702210400117","15.0182993863376","0.145321966165834","-13.0094342823846","3.16333602227434","0.114116426843707","0.0630805742170415"
"W20","31","-4.83280071009317","3.98746719093203","24.873033545363","0.147502727061965","-32.7641448151867","27.0331760663444","0.678117631521511","1.27798700579048e-08"
