"date","solar.time","err_obs_iid_mean","err_obs_iid_se_mean","err_obs_iid_sd","err_obs_iid_2.5pct","err_obs_iid_25pct","err_obs_iid_50pct","err_obs_iid_75pct","err_obs_iid_97.5pct","err_obs_iid_n_eff","err_obs_iid_Rhat","err_proc_iid_mean","err_proc_iid_se_mean","err_proc_iid_sd","err_proc_iid_2.5pct","err_proc_iid_25pct","err_proc_iid_50pct","err_proc_iid_75pct","err_proc_iid_97.5pct","err_proc_iid_n_eff","err_proc_iid_Rhat"
2022-07-28,2022-07-28 04:11:19,0.00263159528649772,0.000208039736715593,0.0151156357621159,-0.0264476719859301,-0.00617382634688379,0.00127178211171142,0.0120687048226888,0.0336804326438888,5279.10433759883,1.00182748426216,0.147560103630527,0.0177182649386071,1.13328148945872,-2.11391243310657,-0.516729642339287,0.101059980932921,0.862724994074923,2.45970206563737,4091.03512036687,1.00088787036967
2022-07-28,2022-07-28 04:26:19,0.00688867408548704,0.0011606000549379,0.0100594949405558,-0.0109402775871822,-0.000278336487975928,0.00588497652936226,0.0136159783302174,0.0281610688937755,75.1254661005858,1.04285820436488,0.189440043389507,0.0417964236760161,1.14729537505592,-2.2852893120644,-0.523994663632315,0.335090628803265,0.863798505293674,2.40675974912192,753.480886552076,1.01276246076757
2022-07-28,2022-07-28 04:41:19,0.0068224364950607,0.00120468388089729,0.00851897269379457,-0.00852687591828936,0.00054494321396481,0.00625487705509631,0.0128451629775785,0.0241677557042902,50.0067066487833,1.06021227103086,0.243969203289536,0.0144305159440992,1.09941269329173,-1.95895909006361,-0.407827888507906,0.208492668906668,0.891647785961555,2.49766700976246,5804.40591000558,0.999654145933087
2022-07-28,2022-07-28 04:56:19,0.0073671160113848,0.00134808629986274,0.00839772219720518,-0.00745708284243824,0.000700396121163127,0.00711504731857993,0.0132026773210829,0.0246614811922722,38.804993699143,1.07043304400421,0.0267563586741206,0.0161283637761119,1.13294871459705,-2.25005568058085,-0.62012856384981,-0.0268286568317364,0.703840918609825,2.4333693927298,4934.46282224521,1.00058278053099
2022-07-28,2022-07-28 05:11:19,0.00414468356916154,0.000544924691556505,0.00792189416179594,-0.0111363597568351,-0.000911879658598735,0.00342841601784283,0.00935580499213229,0.0205954665913761,211.341651867438,1.02302150833105,0.0851701315682084,0.0154366940830589,1.12308921149171,-2.1490723598457,-0.546815442439839,0.0155443283959997,0.799515669148867,2.37965609496565,5293.21964400469,1.00199479458292
2022-07-28,2022-07-28 05:26:19,0.00710499305299867,0.00135103151676916,0.00848062335270131,-0.00818565321818627,0.000773447141819261,0.00672854639528797,0.0129524060168236,0.0238461853173743,39.4025737190837,1.06400461955143,0.177833988434928,0.0148162401701272,1.11420908648243,-2.16441438926977,-0.491424089372394,0.228459139833725,0.857071115822054,2.35009123425584,5655.32246274464,1.00034425622712
2022-07-28,2022-07-28 05:41:19,0.00816063125809794,0.00155592532188332,0.00837180925862377,-0.00598290209752173,0.00145667171910668,0.00777943022933236,0.013943269995945,0.025572654628559,28.9508388735855,1.09109246598928,0.187637569413447,0.0151878774465926,1.11618914315286,-2.11906352462792,-0.483131087042744,0.20524032333463,0.848567726890173,2.44740787639729,5401.09006948579,0.999705313253427
2022-07-28,2022-07-28 05:56:19,0.00742637544752993,0.00143180377274913,0.00826264966391848,-0.0071373394340188,0.000913241567252143,0.00700575173266049,0.0131711356677671,0.0243669250494494,33.3021040411107,1.07689223001554,0.140734163408695,0.0137528043544413,1.09021579734706,-2.07168191680877,-0.466543404360914,0.0519487340937996,0.817909591172223,2.41400884393046,6284.09022368495,1.00272491744751
2022-07-28,2022-07-28 06:11:19,0.010731538633282,0.00216175744305822,0.0086304115535797,-0.00368000554329981,0.00343364787402756,0.010893151828288,0.0169793782118832,0.0271600177211727,15.9385601750379,1.15743142521113,0.352439931648103,0.0148608984820898,1.14104745332403,-1.95943396599551,-0.307807681865368,0.353665377871975,1.04133691226516,2.65176087095362,5895.45429990753,1.00088490249894
2022-07-28,2022-07-28 06:26:19,0.0199143701181394,0.00407532241080236,0.0114251867072597,-0.00188091756426214,0.0136211692334469,0.0215688296964833,0.0279175558631199,0.0392352647372847,7.85964021893394,1.39560106655049,0.544287158750678,0.0155971099272307,1.12538996939294,-1.75528883103631,-0.122776037217049,0.599199908289875,1.1903038631806,2.75053336663027,5206.16362963467,1.00059356769019
2022-07-28,2022-07-28 06:41:19,0.02426183001459,0.00480914751484444,0.0128079523887575,-0.0018177810913401,0.0187116823127944,0.0266429637210042,0.0329813876785381,0.044741430685023,7.09288978561397,1.50983684087264,0.449395767687253,0.0170355694026992,1.15379199135712,-1.88782548337346,-0.211107992327674,0.347832756487488,1.19169555586762,2.80582776011787,4587.13722110267,1.00367346557446
2022-07-28,2022-07-28 06:56:19,0.0193872023395669,0.00404885129483445,0.0113015447663122,-0.00195616637927567,0.0129331514343543,0.0209023904517966,0.0272261762799371,0.0383026742955506,7.79133658940161,1.38429400212408,0.215212457538323,0.0153371159180248,1.10715002106344,-2.02081647314163,-0.408588283093371,0.167876848749884,0.878745169906838,2.47975783109655,5211.05366055485,1.00077225174303
2022-07-28,2022-07-28 07:11:19,0.0164590676529691,0.00341324990530283,0.0103542837134832,-0.00199425137905673,0.00934862737325348,0.0177177406712348,0.0237998501047909,0.0346633049887156,9.20246019873794,1.30160444504953,0.616797575998752,0.0858574303499644,1.15001201651833,-1.74621931506389,-0.160437083183147,0.793127141066516,1.32561350933408,2.84404127744684,179.410965858868,1.02282177227172
