"","Site_ID","k600_md"
"1","C21",56.2239008981975
"2","S01",64.0386065787175
"3","S02",30.7176573024227
"4","S03",55.9947637241886
"5","S04",284.665537328048
"6","S08",28.9066418562066
"7","S10",53.8573905711489
"8","S11",54.5053313272031
"9","S15",177.032536875564
"10","S17R",54.0075011805191
"11","S18R",55.0704888145367
"12","S22RR",6.33200679887572
"13","S23",19.1423000187429
"14","S24",43.07487393705
"15","S29",37.5347566391734
"16","S30R",26.8038568480202
"17","S31",28.5982818618825
"18","S32",13.4267151506991
"19","S34R",2.74905988625777
"20","S36",4.94958817628144
"21","S37",39.1214473477279
"22","S38",35.3987460628021
"23","S39",46.7457363479261
"24","S41R",28.928442176485
"25","S42",22.7607924925568
"26","S43",9.57882174749443
"27","S45",56.7383079320963
"28","S47R",80.7165761491371
"29","S48R",76.326417137796
"30","S49R",42.4490057803101
"31","S50P",12.7249774805575
"32","S51",28.7177373312365
"33","S52",36.0820551815261
"34","S53",214.518607120474
"35","S54",48.2482251371951
"36","S55",35.1254325487599
"37","S56",31.662646866801
"38","S57",30.0536035500162
"39","S58",35.7353041050698
"40","S63",41.4895437979498
"41","T02",3.98887341753311
"42","T03",8.40362472128455
"43","T05P",25.7666962820991
"44","T07",7.7419123300728
"45","T41",27.1596631136205
"46","U20",11.4310798125114
"47","W10",26.3382331140171
"48","W20",33.6581974476078
