SiteID,K600dailymeanmean_m/day,ERdailymeanmean_gO2/m3day,GPPdailymeanmean_gO2/m3day,DO_Slope_mean_Narm_g/m3day,Ersed percent
C21,18.73992301,-9.122794144,0.895418944,0.0020592,100.022572
S01,35.75132133,-10.47517043,4.583333232,-0.02376,99.77317791
S02,18.94825063,-6.980142126,2.906216511,-0.0058608,99.91603609
S03,29.79602974,-12.46724779,1.661680443,-0.006768,99.94571376
S04,74.04071116,-26.30011247,6.68123904,-0.0109728,99.95827851
S08,19.04786343,-32.19372653,3.671077507,0.0055152,100.0171313
S10,12.96421411,-3.143825209,-0.346336785,-0.00033552,99.98932765
S11,27.28999672,-15.63249544,3.95520253,-0.0045072,99.97116775
S15,32.69508691,-11.98840041,0.966667917,-0.00052848,99.99559174
S17R,29.41757636,-15.47829322,3.112779965,-0.0060048,99.96120502
S18R,81.93106307,-12.57785619,4.908325625,-0.0021168,99.98317042
S22RR,28.28112341,-25.33341786,12.90630868,0.0127152,100.0501914
S23,7.516556688,-5.176680789,1.173373285,-0.0051408,99.90069312
S24,26.60064699,-13.29304469,5.319963299,-0.0066672,99.94984445
S29,20.10567632,-7.442469773,3.317604687,-0.021024,99.71751313
S30R,21.41173944,-21.64541542,19.56700392,-0.028368,99.86894222
S31,27.15667842,-11.57206649,4.4233557,0.00025488,100.0022025
S32,20.42898201,-21.67672518,14.16479024,-0.023904,99.88972504
S34R,4.092172164,-24.3371735,22.76335585,-0.014256,99.94142294
S36,4.24047549,-27.38223963,28.6963214,-0.1728,99.36893402
S37,30.84917145,-17.71785544,4.480334751,-0.009216,99.94798468
S38,3.8917801,-17.12741202,-1.324242555,0.05904,100.3447106
S39,21.15127524,-10.25061571,1.89289636,0.00118512,100.0115615
S41R,22.06209733,-16.50913713,4.442438361,-0.0044208,99.9732221
S42,0.222519087,1.723635681,-2.068815235,-0.105628752,106.1282528
S43,10.1343744,-17.74725882,17.58558905,-0.100368,99.43445914
S45,70.13010017,-27.42197814,2.193945186,0.0066672,100.0243133
S47R,30.87822083,-14.9706467,4.944040173,0.00576,100.0384753
S48R,584.2366761,-15.13852846,32.98101818,0.0020736,100.0136975
S49R,35.25269076,-13.11816163,4.960467154,-0.013392,99.89791252
S50P,30.28806734,-4.173674585,8.59014624,-0.0016272,99.96101277
S51,19.06107835,0.858610305,3.113913467,-0.0067248,100.7832191
S52,21.6549622,-16.25941227,2.457906705,0.00019152,100.0011779
S53,100.895075,-28.18397939,6.739072968,0.00134928,100.0047874
S54,49.19240033,1.993993953,6.369059806,-0.00024048,100.0120602
S55,73.81172269,-43.43492433,32.68039571,0.000091152,100.0002099
S56,23.26711815,-15.70235666,17.97741705,-0.049392,99.68544849
S57,9.417557388,-3.411836105,7.730605623,-0.0120528,99.64673567
S58,27.22640082,-13.11224668,17.60773791,-0.009576,99.92696904
S63P,15.77413664,-6.522790226,3.295111859,#N/A,#N/A
T02,2.863933211,-9.834681586,10.3502447,-0.11736,98.80667209
T03,8.064173704,-8.958164535,6.890460035,-0.04968,99.44542211
T05P,30.2665586,-20.1545693,7.303098294,-0.016416,99.91854949
T07,4.299606266,-11.89681982,14.99167939,0.009576,100.0804921
T41,24.40748387,-6.721230284,8.65452939,-0.01944,99.71076724
U20,10.52950654,-34.75588036,2.160449888,0.073872,100.2125453
W10,15.01829939,-13.00943428,3.163336022,-0.0045648,99.96491162
W20,24.87303355,-32.76414482,27.03317607,-0.0104688,99.968048
