Site_ID,Parent_ID,daysofdata,ERdailymeanmean_gO2/m2day,GPPdailymeanmean_gO2/m2day,K600dailymeanmean_m/day,mean_depth_m,ERdailymeanmean_gO2/m3day,GPPdailymeanmean_gO2/m3day,K600vsERrsq,K600vsERp,ERwaterdaily_gO2/m2day,ERwaterdaily_gO2/m3day,ERseddaily_gO2/m2day,ERseddaily_gO2/m3day
C21,SSS032,31,-2.53300249312478,0.245531459984566,18.3197939755127,0.284394813286743,-8.90664096103209,0.863347179742718,0.045578110719908,0.248839899568302,5.977573333333332e-4,0.002064,-2.533600250458113,-8.908704961032091
S01,SSS045,31,-3.50596913964803,1.53400323307895,35.7277274901566,0.33590267537392,-10.4374552412994,4.56680861910768,0.159386955512207,0.0260862169774206,-0.008084738133333333,-0.023712,-3.4978844015146966,-10.4137432412994
S02,SSS044,31,-3.93561110045099,1.63861566174295,18.9061312875521,0.565182275761852,-6.96343687555645,2.89926937205195,0.0294065104607284,0.356319595642261,-0.0033631008000000002,-0.005856,-3.93224799965099,-6.9575808755564506
S03,SSS019,31,-1.94204517068621,0.255310016438087,29.1223969778739,0.159815223560573,-12.1518158747258,1.59753251755343,0.0186020675323371,0.464408412732955,-0.0011169456,-0.006768,-1.94092822508621,-12.145047874725801
S04,SSS011,31,-5.05779598807598,1.2866015753005,70.1666610405608,0.204224024137281,-24.765920706156,6.29995212725629,0.974984051427983,8.83662667119748e-25,-0.0021800727999999998,-0.010968,-5.05561591527598,-24.754952706156
S08,SSS018,31,-10.0748464576171,1.14556818845538,18.6165936910076,0.320625722999264,-31.4224522080538,3.57291416839319,0.139498493040621,0.0384854854666977,0.0017953493333333333,0.005520000000000001,-10.076641806950434,-31.427972208053802
S10,SSS010,31,-0.934449302145113,-0.0786526601002222,13.3831281074128,0.281214375523889,-3.32290730302915,-0.27968932937264,0.0379118418322803,0.293885972714716,-9.61221333333333e-5,-3.3599999999999993e-4,-0.9343531800117797,-3.32257130302915
S11,SSS043,31,-7.68955183647668,1.94223307620808,26.542304675708,0.506523306558725,-15.1810424849329,3.83443970111353,0.888205600727545,2.4722068680483e-15,-0.0022696863999999996,-0.0045119999999999995,-7.68728215007668,-15.1765304849329
S15,SSS022,29,-1.13573825554292,0.084582494935619,30.1445116779271,0.100563161431211,-11.2937803404263,0.841088264647253,0.357719406834147,6.10865209802e-4,-5.861973333333326e-5,-5.279999999999994e-4,-1.1356796358095866,-11.293252340426301
S17R,SSS035,31,-6.5849711783869,1.32295023786553,29.3329895401909,0.426973518284994,-15.4224346391235,3.09843627581254,4.336854131448e-6,0.991128954324733,-0.0026507952,-0.006192,-6.5823203831869,-15.4162426391235
S18R,SSS034,31,-6.75356632757931,2.62538809418519,81.3893672002116,0.540663077537802,-12.4912660178966,4.85586718098321,0.491830628072636,1.10846410877868e-5,-0.0011614581333333335,-0.0021216,-6.752404869445976,-12.489144417896599
S22RR,SSS046,31,-6.82333887835973,3.47478766718067,28.0649514387248,0.272466471081308,-25.0428570211986,12.7530835386485,0.599760874693334,3.18215417567223e-7,0.0035132640000000003,0.01272,-6.826852142359731,-25.0555770211986
S23,SSS047,29,-6.67271668075764,1.58412658895077,8.44365138068728,1.1015470250325,-6.0575867658131,1.43809256704591,0.0652223643828855,0.181189290143982,-0.0055278768,-0.005136,-6.6671888039576395,-6.0524507658130995
S24,SSS021,31,-5.85459981272343,2.3467020429977,27.0558293645341,0.431757607555089,-13.5599227674904,5.43523032816111,0.444633883957252,4.20051473358606e-5,-0.003164010666666667,-0.006672,-5.851435802056764,-13.5532507674904
S29,SSS048,31,-1.66907685895793,0.745025283403278,20.2446158568516,0.229620258493664,-7.26885715531927,3.24459735517559,0.0349211186931361,0.314124682677624,-0.0038034149333333335,-0.020976,-1.6652734440245966,-7.24788115531927
S30R,SSS002,31,-5.62215537616272,5.08007732974331,21.2831225021811,0.261518099119729,-21.4981502048497,19.4253374693486,0.503900982072616,7.7387675322721e-6,-0.007320405333333333,-0.028319999999999998,-5.614834970829387,-21.4698302048497
S31,SSS003,31,-3.43761180869596,1.31634145899493,27.3846712781682,0.294493985767366,-11.6729440152693,4.46984156761274,0.101311447706537,0.0809722830387644,7.808384e-5,2.544e-4,-3.43768989253596,-11.6731984152693
S32,SSS027,31,-6.48207700986789,4.23477200781006,20.454643161127,0.298898775716269,-21.6865291412937,14.1679135274543,0.703480222734939,3.82314739440012e-9,-0.034172144,-0.12047999999999999,-6.44790486586789,-21.5660491412937
S34R,SSS025,31,-18.4635351025343,17.277184751372,4.08892426947596,0.759176885603897,-24.3204652995293,22.7577855424677,0.01805473376809,0.471116782968587,-0.0107124336,-0.014256,-18.452822668934303,-24.3062092995293
S36,SSS026,31,-15.4132945441095,16.154532088054,4.2447929125499,0.562162218953562,-27.4178769480464,28.7364243689747,0.285503871150068,0.00195934604433877,-0.10261056,-0.1728,-15.310683984109499,-27.2450769480464
S37,SSS039,31,-3.57398170468249,0.91499417142878,31.8614248428028,0.194375262936475,-18.3870192672127,4.707359144398,0.944277958694201,9.908698939548e-20,-0.0017534976000000001,-0.009216,-3.57222820708249,-18.377803267212702
S38,SSS038,29,-1.94389257847072,-0.137425116212125,4.064691650533,0.104793122316693,-18.5498106697892,-1.31139442335552,0.142260487781985,0.0436963627745524,0.005181088,0.05904,-1.94907366647072,-18.6088506697892
S39,SSS037,31,-1.6850122342529,0.313513721814291,21.3596906001128,0.161843518928143,-10.4113667659502,1.93714103530763,0.00604248940271242,0.677669200614887,1.9428031999999999e-4,0.0011856,-1.6852065145728998,-10.4125523659502
S41R,SSS029,31,-6.19587489536627,1.67025797923238,22.2697028497091,0.371739121286087,-16.6672662105907,4.49309175061767,2.90872808526882e-8,0.999273480310467,-0.0015869632,-0.004416,-6.19428793216627,-16.6628502105907
S42,SSS028,31,0.246913731059227,-0.293186300421914,0.205398482285898,0.141781990521327,1.74150278290871,-2.06786700725444,0.0306715701478835,0.346019079143239,-0.014597900159999998,-0.1056288,0.261511631219227,1.84713158290871
S43,SSS030,31,-5.71657474909746,5.66083258261945,10.1494473112827,0.321622796882549,-17.7741590599532,17.6008437134718,0.317679718840337,9.6058023130739e-4,-0.031578506666666666,-0.10031999999999999,-5.684996242430794,-17.6738390599532
S45,SSS009,31,-9.80145444446675,0.777762811807682,69.5464611838596,0.360599629051975,-27.1809887054932,2.15685971128822,0.775368755395753,6.52509740863904e-11,0.0025524848,0.006672,-9.80400692926675,-27.187660705493197
S47R,SSS031,31,-7.08412890534124,2.34191584182689,30.5925065847296,0.478029821199166,-14.8194288121404,4.89909988450522,0.65717455815518,3.23351318954648e-8,0.0028804479999999994,0.0057599999999999995,-7.08700935334124,-14.8251888121404
S48R,SSS033,26,-6.49465014083537,14.5856546070589,958.685924570935,0.278673862273559,-23.3055590066783,52.3395143271132,0.0861069863724294,0.145690912237889,6.028416e-4,0.0020736,-6.49525298243537,-23.3076326066783
S49R,SSS041,31,-5.79894225430483,2.16255966164037,33.8615194140342,0.464311170883416,-12.4893446850989,4.6575654372601,0.612494787145853,1.9723960951649e-7,-0.005877599999999999,-0.013392,-5.79306465430483,-12.4759526850989
S50P,SSS012,31,-2.16342581281754,4.44798450153582,30.292323213322,0.518324591952335,-4.17388224754825,8.58146530301008,0.175915998562251,0.0188361245219945,-8.307242666666669e-4,-0.0016320000000000002,-2.1625950885508733,-4.17225024754825
S51,SSS042,31,0.376785211620104,1.44221375566274,19.2837181564568,0.452906647065001,0.83192687513378,3.18435104675281,0.00142284973968063,0.840338345380636,-0.0027692373333333326,-0.006719999999999999,0.3795544489534373,0.83864687513378
S52,SSS008,31,-3.76076708715521,0.567589632535535,21.6385464028578,0.231733628598545,-16.2288361421655,2.4493192290137,0.00260478461228699,0.785112535951312,4.579626666666667e-5,1.9200000000000003e-4,-3.7608128834218766,-16.229028142165497
S53,SSS007,31,-6.06777145319407,1.45177675646557,99.7866106213875,0.217929598788796,-27.8428055983096,6.66167773691238,0.992699148900539,1.53957802987063e-32,3.088602133333333e-4,0.0013488,-6.068080313407403,-27.8441543983096
S54,SSS040,31,0.962007633141421,3.08858031189436,49.2787567839846,0.483666260145507,1.98899057555102,6.38576755584561,0.140840614247722,0.0374914172754563,-1.0599999999999996e-4,-2.3999999999999992e-4,0.9621136331414211,1.98923057555102
S55,SSS004,20,-1.89582934894136,1.32064644564056,26.8154134202059,0.13214442838288,-14.3466461063974,9.99396237739266,0.0610771126416964,0.293499666071322,1.1719200000000003e-5,9.120000000000002e-5,-1.89584106814136,-14.346737306397399
S56,SSS006,32,-3.68121398123836,4.21551153043132,23.0870587093147,0.25880805925182,-14.2237223673802,16.2881772021235,0.440494079097565,3.45931360774425e-5,-0.010997653333333333,-0.04944,-3.6702163279050266,-14.174282367380199
S57,SSS005,31,-5.81299817296945,13.172486125071,9.45729780342065,1.68553336968833,-3.44875887805433,7.81502541685467,0.503900602028618,7.73885608510307e-6,-0.0198518912,-0.012047999999999998,-5.79314628176945,-3.43671087805433
S58,SSS017,31,-9.44414163584347,12.6805340832459,27.339298138977,0.717025672217794,-13.1712740586154,17.6849094454657,0.697201078426238,5.20186065613948e-9,-0.006677344800000001,-0.009576000000000001,-9.43746429104347,-13.1616980586154
S63,SSS001,31,-0.628139266524753,0.203224693659792,8.6335520230858,0.244542779062434,-2.56862733356106,0.831039437921439,0.131544218108346,0.0449358228156119,0.0013263793066666666,0.0054192,-0.6294656458314197,-2.57404653356106
T02,SSS014,31,-21.063703636361,22.0516965721221,2.85933761270376,2.11689428882925,-9.95028601452284,10.4170041406828,0.144950116787393,0.0346026133884716,-0.24615608,-0.11736,-20.817547556361003,-9.83292601452284
T03,SSS015,31,-15.339452296672,11.79612568558,8.07646482758879,1.70945316615741,-8.97330947717788,6.900525805042,0.614739591910721,1.81004904435638e-7,NA,NA,NA,NA
T05P,SSS020,31,-8.86213846873548,3.21598254365635,30.4793363429285,0.427524464928341,-20.7289621898501,7.52233569649726,0.89218965733372,1.45769828711139e-15,-0.0072732464,-0.016464,-8.85486522233548,-20.712498189850102
T07,SSS013,32,-6.15652324609896,7.75867783068528,4.29903234334929,0.491819037656904,-12.5178628209057,15.7754727585348,0.00705082015933673,0.647734758980347,0.0045111472,0.009576000000000001,-6.1610343932989595,-12.527438820905699
T41,SSS016,31,-3.97659605269201,5.12294695324104,24.3631650794079,0.593166124462168,-6.70401745598274,8.63661416586473,0.00655577184480079,0.665017910902617,-0.011011248,-0.01944,-3.96558480469201,-6.68457745598274
U20,SSS023,31,-4.54378695218877,0.278611027345021,9.48823570359222,0.145209813732498,-31.2911836699909,1.9186790491879,0.196934488228911,0.0123944398319291,0.010828458666666667,0.07392000000000001,-4.554615410855437,-31.3651036699909
