Date,solar_time,err_obs_iid_mean,err_obs_iid_se_mean,err_obs_iid_sd,err_obs_iid_2point5pct,err_obs_iid_25pct,err_obs_iid_50pct,err_obs_iid_75pct,err_obs_iid_97point5pct,err_obs_iid_n_eff,err_obs_iid_Rhat,err_proc_iid_mean,err_proc_iid_se_mean,err_proc_iid_sd,err_proc_iid_2point5pct,err_proc_iid_25pct,err_proc_iid_50pct,err_proc_iid_75pct,err_proc_iid_97point5pct,err_proc_iid_n_eff,err_proc_iid_Rhat
 2022-07-26, 2022-07-26 04:03:25,0.00595407172951298,4.2078988761639e-4,0.0355950467118197,-0.0639199633200803,-0.0183992926650716,0.00575239643263803,0.030127873820758,0.0766297947351669,7155.64103158425,0.999899286480067,-1.4075223470942,0.0356618902430854,2.69720730248233,-6.77542745077568,-3.20984817296928,-1.42590141546963,0.410973859592092,3.79888038033384,5720.31487971306,0.999427265775114
 2022-07-26, 2022-07-26 04:18:25,-0.00494677658849697,4.6311083024359e-4,0.0335155467340312,-0.069966037990119,-0.0275870325350995,-0.00486051454510905,0.0177414357571164,0.0594537512157138,5237.48439270516,0.999495980103907,-0.254904536291802,0.0506972629057362,2.69190733725859,-5.37133459410637,-2.12416714452157,-0.280626719661482,1.59567705980801,5.06407783916811,2819.36423850911,0.999695123094098
 2022-07-26, 2022-07-26 04:33:25,-0.00110200818459945,7.4145505061413e-4,0.0349718374977163,-0.0703942894426356,-0.0248268139851242,-7.585816154787e-4,0.0215271935330257,0.0653521158150687,2224.67844908436,0.999917015243613,-0.0143802884507507,0.043354845875858,2.70507825106373,-5.42269422889747,-1.84827499187035,0.00412257713113204,1.84173976997861,5.29744830059515,3892.99971559424,0.999856493484989
 2022-07-26, 2022-07-26 04:48:25,-0.00702882876738477,8.0212407740231e-4,0.0346713856424903,-0.0723615181621412,-0.0299893457373295,-0.00744353626106831,0.0161451230086351,0.0602186154874128,1868.3545397722,1.00090878329454,1.85660619786354,0.0530452233204555,2.74027430677741,-3.57318120535673,0.0487248587786237,1.91376403710865,3.65905752234225,7.36295340658806,2668.67393062855,1.00028127573819
 2022-07-26, 2022-07-26 05:03:25,0.00461998095616365,6.7463722873476e-4,0.0346550274055297,-0.0600916608405489,-0.0191456774889227,0.00420601225726935,0.0279196919530385,0.0724924233572355,2638.71135891215,0.999613049902855,1.18246325710993,0.0444425086778305,2.69634781214592,-4.243297410116,-0.538589104724496,1.16756455527703,2.88696427393641,6.65882002220235,3680.90571892271,0.999366302558533
 2022-07-26, 2022-07-26 05:18:25,-1.8410717795456e-4,5.8023468983854e-4,0.0329964162395674,-0.0636679815877792,-0.0228774549152173,6.71104563232383e-5,0.0220251476849673,0.0632651331355788,3233.89687800229,0.999730624653912,1.41472579530098,0.0379793720761277,2.64971996095471,-3.78997229212229,-0.37775434186049,1.48051813960061,3.22212778452927,6.45532484870245,4867.48245199514,0.999906912111973
 2022-07-26, 2022-07-26 05:33:25,0.00170180821087682,6.0723554229775e-4,0.0339510142490462,-0.065003734208286,-0.0215416056511419,0.00247002285028852,0.0239390918159761,0.0684009545075893,3126.01558454553,1.00143441910674,1.13621132147045,0.0410573568407931,2.6548649506459,-4.06304009573897,-0.719920155896741,1.16688290157046,2.99005639355983,6.36014066820933,4181.21879103031,1.00000099876992
 2022-07-26, 2022-07-26 05:48:25,0.00399771650369487,5.2052037678412e-4,0.0340056743240415,-0.0631427055286806,-0.0187817231339142,0.00487766473411488,0.0260392656001853,0.0703637171493621,4268.02850672327,1.00008742589826,0.601510538018358,0.0420133032378173,2.79322784234154,-4.67471975001505,-1.3414190491594,0.636326767436045,2.4780504263456,5.96775261063345,4420.17096359603,1.00151305177997
 2022-07-26, 2022-07-26 06:03:25,-1.653566503115e-4,5.8497900182512e-4,0.0348892631782052,-0.0698698251881955,-0.0236384105694565,7.1670088718844e-4,0.0228485559571323,0.0678255809007571,3557.1570612979,1.00058045023987,0.988718647807936,0.0391544909139612,2.74810125832813,-4.4048963498393,-0.849361330037775,0.981052590407803,2.85618465651786,6.33834077708115,4926.08950650731,0.999959701552989
 2022-07-26, 2022-07-26 06:18:25,-0.00390721311931337,6.144076532312e-4,0.0344379244817593,-0.068846985737726,-0.0271118896368103,-0.00410199402631939,0.018722266171558,0.0646848514538744,3141.67101446906,0.999902295178688,1.94688661931726,0.038982894229558,2.73398469229844,-3.39479524314086,0.078415065630862,1.90153489393701,3.79085026243261,7.2854209159362,4918.6282305566,0.999895039449363
 2022-07-26, 2022-07-26 06:33:25,0.014092289337335,5.429275067166e-4,0.0344324802489848,-0.0515918321265616,-0.00984035000383443,0.0140016737012405,0.0377788950869815,0.0822731318488669,4022.10055217525,1.00050946095383,-0.811067789105688,0.034926478737321603,2.72083228957051,-6.09732642108819,-2.66231547464422,-0.825842070746922,1.00821121202164,4.48317635070758,6068.67584838816,0.999509712676646
 2022-07-26, 2022-07-26 06:48:25,-0.00298864030260019,5.2089224810906e-4,0.0348953592344002,-0.0703039291574921,-0.0266916646096191,-0.00276724335468037,0.0199092114671007,0.0651401189436523,4487.86266576912,0.999505258505401,-0.317224269874523,0.0437430652002434,2.83539445868845,-5.73116123549249,-2.20918180424868,-0.383210198671724,1.6420431821767,5.2405449382650104,4201.54044496866,1.00077223872956
