Parent_ID,Site_ID,daysofdata,ERdailymeanmean_gO2_per_m2day,GPPdailymeanmean_gO2_per_m2day,K600dailymeanmean_m_per_day,mean_depth_m,ERdailymeanmean_gO2_per_m3day,GPPdailymeanmean_gO2_per_m3day,K600vsERrsq,K600vsERp
SSS001,S63,31,-0.628139267,0.203224694,8.633552023,0.244542779,-2.568627334,0.831039438,0.131544218,0.044935823
SSS002,S30R,31,-5.622155376,5.08007733,21.2831225,0.261518099,-21.4981502,19.42533747,0.503900982,7.74E-06
SSS003,S31,31,-3.437611809,1.316341459,27.38467128,0.294493986,-11.67294402,4.469841568,0.101311448,0.080972283
SSS004,S55N,20,-1.895829349,1.320646446,26.81541342,0.132144428,-14.34664611,9.993962377,0.061077113,0.293499666
SSS005,S57,31,-5.812998173,13.17248613,9.457297803,1.68553337,-3.448758878,7.815025417,0.503900602,7.74E-06
SSS006,S56N,32,-3.681213981,4.21551153,23.08705871,0.258808059,-14.22372237,16.2881772,0.440494079,3.46E-05
SSS007,S53,31,-6.067771453,1.451776756,99.78661062,0.217929599,-27.8428056,6.661677737,0.992699149,1.54E-32
SSS008,S52,31,-3.760767087,0.567589633,21.6385464,0.231733629,-16.22883614,2.449319229,0.002604785,0.785112536
SSS009,S45,31,-9.801454444,0.777762812,69.54646118,0.360599629,-27.18098871,2.156859711,0.775368755,6.53E-11
SSS010,S10,31,-0.934449302,-0.07865266,13.38312811,0.281214376,-3.322907303,-0.279689329,0.037911842,0.293885973
SSS011,S04,31,-5.057795988,1.286601575,70.16666104,0.204224024,-24.76592071,6.299952127,0.974984051,8.84E-25
SSS012,S50P,31,-2.163425813,4.447984502,30.29232321,0.518324592,-4.173882248,8.581465303,0.175915999,0.018836125
SSS013,T07,32,-6.156523246,7.758677831,4.299032343,0.491819038,-12.51786282,15.77547276,0.00705082,0.647734759
SSS014,T02,31,-21.06370364,22.05169657,2.859337613,2.116894289,-9.950286015,10.41700414,0.144950117,0.034602613
SSS015,T03,31,-15.3394523,11.79612569,8.076464828,1.709453166,-8.973309477,6.900525805,0.614739592,1.81E-07
SSS016,T41,31,-3.976596053,5.122946953,24.36316508,0.593166124,-6.704017456,8.636614166,0.006555772,0.665017911
SSS017,S58,31,-9.444141636,12.68053408,27.33929814,0.717025672,-13.17127406,17.68490945,0.697201078,5.20E-09
SSS018,S08,31,-10.07484646,1.145568188,18.61659369,0.320625723,-31.42245221,3.572914168,0.139498493,0.038485485
SSS019,S03,31,-1.942045171,0.255310016,29.12239698,0.159815224,-12.15181587,1.597532518,0.018602068,0.464408413
SSS020,T05P,31,-8.862138469,3.215982544,30.47933634,0.427524465,-20.72896219,7.522335696,0.892189657,1.46E-15
SSS021,S24,31,-5.854599813,2.346702043,27.05582936,0.431757608,-13.55992277,5.435230328,0.444633884,4.20E-05
SSS022,S15,29,-1.135738256,0.084582495,30.14451168,0.100563161,-11.29378034,0.841088265,0.357719407,0.000610865
SSS023,U20,31,-4.543786952,0.278611027,9.488235704,0.145209814,-31.29118367,1.918679049,0.196934488,0.01239444
SSS024,W20,31,-4.742657638,3.909466721,24.89435958,0.143444594,-33.0626446,27.25419346,0.633226708,8.75E-08
SSS025,S34R,31,-18.4635351,17.27718475,4.088924269,0.759176886,-24.3204653,22.75778554,0.018054734,0.471116783
