Date,solar_time,err_obs_iid_mean,err_obs_iid_se_mean,err_obs_iid_sd,err_obs_iid_2point5pct,err_obs_iid_25pct,err_obs_iid_50pct,err_obs_iid_75pct,err_obs_iid_97point5pct,err_obs_iid_n_eff,err_obs_iid_Rhat,err_proc_iid_mean,err_proc_iid_se_mean,err_proc_iid_sd,err_proc_iid_2point5pct,err_proc_iid_25pct,err_proc_iid_50pct,err_proc_iid_75pct,err_proc_iid_97point5pct,err_proc_iid_n_eff,err_proc_iid_Rhat
 2022-07-28, 2022-07-28 04:11:43,4.3931600486343e-5,8.50992554865258e-6,6.5822146785131e-4,-0.00131032633820589,-3.3251976370474e-4,4.20194636143734e-5,4.0398715011136e-4,0.00144549685439843,5982.63578309745,1.00062885640432,-1.0571874721484,0.00421699734746032,0.135614061255962,-1.30865619034359,-1.14991291643483,-1.05803009464084,-0.968032592236269,-0.785495420239028,1034.19584453867,1.00646879818527
 2022-07-28, 2022-07-28 04:26:43,-4.12392401304835e-5,8.37080928939983e-6,6.6166328258107e-4,-0.00146008197888681,-4.1571951376884e-4,-2.5067037299209e-5,3.4133327681029e-4,0.0013018983053473,6247.97344694284,1.00205672945724,-0.845399357892046,0.00620086017387909,0.138480872050971,-1.11637893319624,-0.938485232983323,-0.844710675750599,-0.754228819647914,-0.573773199802104,498.741724710958,1.01256158022957
 2022-07-28, 2022-07-28 04:41:43,-5.55374429605662e-5,9.05235156670677e-6,6.6473367957707e-4,-0.00144265223609423,-4.2774853215243e-4,-3.37979828417545e-5,3.3285857175169e-4,0.00123420845545379,5392.28132655558,1.00171450535642,0.0651434824665956,0.00223344810902341,0.129403940805302,-0.191621019868235,-0.0191307556260515,0.065203862231907,0.149059385245768,0.320188958849445,3356.9376211457,1.00097005077464
 2022-07-28, 2022-07-28 04:56:43,1.23192426899199e-5,8.18755323018224e-6,6.7389894430362e-4,-0.00134495288695344,-3.6678500760078e-4,1.01071974789591e-6,3.9928472911654e-4,0.00138316224311894,6774.56289371538,0.999761816493124,-0.293638063666208,0.00217731395858113,0.125932829079554,-0.538579216017951,-0.379511121464404,-0.293620251707738,-0.20719014230004,-0.0503083240936458,3345.30566643604,1.00218239931611
 2022-07-28, 2022-07-28 05:11:43,-2.97474450983146e-5,8.36948289303344e-6,6.7673748369244e-4,-0.00144053515679738,-4.1385234133928e-4,-2.78544701197703e-5,3.4918857525356e-4,0.00138721494463279,6537.97434963869,0.999390881535957,0.270957071895564,0.00264110526468341,0.125549253792471,0.0308710295514867,0.187072819216953,0.270259615725332,0.354599026448419,0.519367260537455,2259.731552962,1.00328435617399
 2022-07-28, 2022-07-28 05:26:43,5.01928919571135e-5,8.64306117618792e-6,7.0694801308519e-4,-0.00146542881508713,-3.3043047860648e-4,3.98276940432041e-5,4.1962570012454e-4,0.00156651337608587,6690.21049830997,1.00072749606652,-0.759199625180046,0.00227446386348019,0.117059328326912,-0.989787174160036,-0.834639885930443,-0.758021232745336,-0.68540337294372,-0.523357323869274,2648.82930993715,1.00547323097285
 2022-07-28, 2022-07-28 05:41:43,-5.54504833181002e-5,7.91538798885034e-6,6.5578707253126e-4,-0.00145252653877557,-4.1917876448538e-4,-4.83695761444025e-5,3.2544649808219e-4,0.00125872703402945,6864.06341741826,1.00088375680421,0.427207777339127,0.00419077790237286,0.117547867243358,0.200916040401669,0.347678539230782,0.425634749370755,0.505936620060841,0.65860835566601,786.756278064457,1.00947435740714
 2022-07-28, 2022-07-28 05:56:43,6.272664574252e-5,9.35338648596488e-6,6.6107828894216e-4,-0.00125213330449871,-3.321575514068e-4,5.14717566142409e-5,4.3609154425006e-4,0.00144011195479505,4995.37422656964,1.00255280052415,-1.06014771284382,0.00804783141609271,0.125269047389623,-1.29952332397811,-1.14326562938626,-1.06171384072892,-0.980153761811121,-0.81063832023465,242.286830686646,1.02967585091799
 2022-07-28, 2022-07-28 06:11:43,-6.44437812966245e-5,9.19170890894056e-6,6.7279012442152e-4,-0.0014877405439262,-4.3726404084365e-4,-4.42046966275811e-5,3.1741161129739e-4,0.0013038630434155,5357.55565801559,1.00325508008223,-0.224653040977644,0.00585929052571521,0.11797326668199801,-0.46125218328112,-0.303149072275532,-0.223655682165138,-0.147772114754673,0.0103052442334215,405.393840143783,1.01658358774598
 2022-07-28, 2022-07-28 06:26:43,-5.39504729658535e-6,8.30590702053559e-6,6.7631364934642e-4,-0.00139035189937733,-3.8767041890341e-4,-8.10512994497969e-6,3.7693184223908e-4,0.00136294306197113,6630.13199504601,0.999791862158773,-0.336482854741301,0.00911085515351939,0.128566189813031,-0.578866355946842,-0.424270753432327,-0.33748683915027,-0.252033305696916,-0.0824535366715495,199.129343679718,1.03102090555787
 2022-07-28, 2022-07-28 06:41:43,5.26838688862252e-6,7.88153275601548e-6,6.7158647346276e-4,-0.00137002804937709,-3.652636980993e-4,-3.69839524694271e-6,3.7798956629675e-4,0.00144132578665399,7260.76717841398,0.999839411065839,-0.732537440317477,0.00967747461512763,0.129714389307432,-0.981605302647351,-0.817347743712349,-0.735944936212836,-0.64841053346404,-0.475992203378952,179.660344906606,1.03717907792977
 2022-07-28, 2022-07-28 06:56:43,-3.17815249798041e-5,7.92160218044525e-6,6.6747919216889e-4,-0.00139211827319246,-3.933979376729e-4,-1.67546553742071e-5,3.4549669385786e-4,0.0013031308091263,7099.85380703837,0.999760479548549,-0.466107452522569,0.00877500534378244,0.126053800050633,-0.707028062711043,-0.550459874254374,-0.46665721896389,-0.385580830650008,-0.213940748291501,206.356002362776,1.03278848217117
